Date,High,Low,Close,DayNumber,Month_Number,DayMonth,Year,UpDown
2001-08-15,0.8224999904632568,0.781000018119812,0.7922999858856201,2,800,15,2001,0
2001-08-16,0.7914999723434448,0.7699999809265137,0.7745000123977661,3,800,16,2001,0
2001-08-17,0.7760000228881836,0.7350000143051147,0.7390000224113464,4,800,17,2001,0
2001-08-20,0.746999979019165,0.7229999899864197,0.7430999875068665,0,800,20,2001,1
2001-08-21,0.7870000004768372,0.7440000176429749,0.7840999960899353,1,800,21,2001,1
2001-08-22,0.7979999780654907,0.7705000042915344,0.7825000286102295,2,800,22,2001,0
2001-08-23,0.7925000190734863,0.7760000228881836,0.7893999814987183,3,800,23,2001,1
2001-08-24,0.8410000205039978,0.7940000295639038,0.8356999754905701,4,800,24,2001,1
2001-08-27,0.8500000238418579,0.8270000219345093,0.8381999731063843,0,800,27,2001,1
2001-08-28,0.847000002861023,0.8230000138282776,0.8450999855995178,1,800,28,2001,1
2001-08-29,0.8600000143051147,0.8144999742507935,0.8302000164985657,2,800,29,2001,0
2001-08-30,0.8220000267028809,0.7929999828338623,0.7972999811172485,3,800,30,2001,0
2001-08-31,0.8119999766349792,0.7950000166893005,0.8057000041007996,4,800,31,2001,1
2001-09-04,0.7900000214576721,0.7630000114440918,0.7684000134468079,1,900,4,2001,0
2001-09-05,0.7900000214576721,0.7630000114440918,0.7882999777793884,2,900,5,2001,1
2001-09-06,0.8100000023841858,0.7860000133514404,0.8079000115394592,3,900,6,2001,1
2001-09-07,0.8309999704360962,0.8109999895095825,0.8253999948501587,4,900,7,2001,1
2001-09-10,0.8270000219345093,0.8130000233650208,0.8187000155448914,0,900,10,2001,0
2001-09-11,0.8184999823570251,0.8127999901771545,0.8149999976158142,1,900,11,2001,0
2001-09-14,0.8700000047683716,0.8557000160217285,0.8586999773979187,4,900,14,2001,1
2001-09-17,0.8475000262260437,0.8249999880790709,0.8317000269889832,0,900,17,2001,0
2001-09-18,0.8220000267028809,0.7879999876022339,0.7932000160217285,1,900,18,2001,0
2001-09-19,0.7919999957084656,0.7310000061988831,0.7524999976158142,2,900,19,2001,0
2001-09-20,0.7649999856948853,0.7160000205039978,0.7426000237464905,3,900,20,2001,0
2001-09-21,0.7450000047683716,0.718999981880188,0.7214999794960022,4,900,21,2001,0
2001-09-24,0.6819999814033508,0.6169999837875366,0.6359999775886536,0,900,24,2001,0
2001-09-25,0.6549999713897705,0.6039999723434448,0.6208999752998352,1,900,25,2001,0
2001-09-26,0.6299999952316284,0.574999988079071,0.6238999962806702,2,900,26,2001,1
2001-09-27,0.6420000195503235,0.6119999885559082,0.6376000046730042,3,900,27,2001,1
2001-09-28,0.6880000233650208,0.6449999809265137,0.6798999905586243,4,900,28,2001,1
2001-10-01,0.6539999842643738,0.625,0.6525999903678894,0,1000,1,2001,0
2001-10-02,0.6629999876022339,0.6389999985694885,0.640500009059906,1,1000,2,2001,0
2001-10-03,0.6309999823570251,0.609000027179718,0.6292999982833862,2,1000,3,2001,0
2001-10-04,0.6420000195503235,0.6225000023841858,0.6328999996185303,3,1000,4,2001,1
2001-10-05,0.6434999704360962,0.6150000095367432,0.6187000274658203,4,1000,5,2001,0
2001-10-08,0.6230000257492065,0.6079999804496765,0.6147000193595886,0,1000,8,2001,0
2001-10-09,0.6179999709129333,0.609000027179718,0.6136999726295471,1,1000,9,2001,0
2001-10-10,0.6190000176429749,0.6069999933242798,0.6136999726295471,2,1000,10,2001,0
2001-10-11,0.6359999775886536,0.6100000143051147,0.6273000240325928,3,1000,11,2001,1
2001-10-12,0.6365000009536743,0.593999981880188,0.6010000109672546,4,1000,12,2001,0
2001-10-15,0.6079999804496765,0.5929999947547913,0.597100019454956,0,1000,15,2001,0
2001-10-16,0.6000000238418579,0.5879999995231628,0.5902000069618225,1,1000,16,2001,0
2001-10-17,0.5975000262260437,0.574999988079071,0.5802000164985657,2,1000,17,2001,0
2001-10-18,0.578000009059906,0.5600000023841858,0.567300021648407,3,1000,18,2001,0
2001-10-19,0.6000000238418579,0.5680000185966492,0.5952000021934509,4,1000,19,2001,1
2001-10-22,0.6100000143051147,0.5860000252723694,0.5978999733924866,0,1000,22,2001,1
2001-10-23,0.609000027179718,0.5870000123977661,0.5900999903678894,1,1000,23,2001,0
2001-10-24,0.6100000143051147,0.5830000042915344,0.6039999723434448,2,1000,24,2001,1
2001-10-25,0.6119999885559082,0.5839999914169312,0.5856999754905701,3,1000,25,2001,0
2001-10-26,0.5954999923706055,0.5799999833106995,0.5831999778747559,4,1000,26,2001,0
2001-10-29,0.6000000238418579,0.578000009059906,0.5838000178337097,0,1000,29,2001,1
2001-10-30,0.5860000252723694,0.5659999847412109,0.5690000057220459,1,1000,30,2001,0
2001-10-31,0.5730000138282776,0.5460000038146973,0.5522999763488771,2,1000,31,2001,0
2001-11-01,0.5669999718666077,0.5389999747276306,0.5412999987602234,3,1100,1,2001,0
2001-11-02,0.5450000166893005,0.5289999842643738,0.5440000295639038,4,1100,2,2001,1
2001-11-05,0.5529999732971191,0.5360000133514404,0.5378999710083008,0,1100,5,2001,0
2001-11-06,0.5419999957084656,0.5270000100135803,0.5392000079154968,1,1100,6,2001,1
2001-11-07,0.550000011920929,0.5410000085830688,0.5462999939918518,2,1100,7,2001,1
2001-11-08,0.5799999833106995,0.5540000200271606,0.5763999819755554,3,1100,8,2001,1
2001-11-09,0.609000027179718,0.5759999752044678,0.6071000099182129,4,1100,9,2001,1
2001-11-12,0.6000000238418579,0.5649999976158142,0.5756999850273132,0,1100,12,2001,0
2001-11-13,0.5914999842643738,0.5699999928474426,0.5800999999046326,1,1100,13,2001,1
2001-11-14,0.5550000071525574,0.5320000052452087,0.5336999893188477,2,1100,14,2001,0
2001-11-15,0.527999997138977,0.4839999973773956,0.488400012254715,3,1100,15,2001,0
2001-11-16,0.5074999928474426,0.4839999973773956,0.5022000074386597,4,1100,16,2001,1
2001-11-19,0.5159999728202821,0.4779999852180481,0.5078999996185303,0,1100,19,2001,1
2001-11-20,0.5339999794960022,0.5180000066757202,0.5281000137329102,1,1100,20,2001,1
2001-11-21,0.5370000004768372,0.5239999890327454,0.5273000001907349,2,1100,21,2001,0
2001-11-26,0.5299999713897705,0.5115000009536743,0.5217000246047974,0,1100,26,2001,0
2001-11-27,0.5475000143051147,0.5230000019073486,0.5381000041961671,1,1100,27,2001,1
2001-11-28,0.5410000085830688,0.5230000019073486,0.5278000235557556,2,1100,28,2001,0
