,Open,High,Low,Close,Volume,Forcast,Forcast_Direction,Real_Direction,Result,diff_right,diff_wrong
2023-05-18,72.75,72.87000274658203,71.41999816894531,71.86000061035156,80864.0,75.52310943603516,Down,Down,1,0.30999755859375,0.0
2023-05-19,71.94000244140625,73.4000015258789,71.02999877929688,71.55000305175781,69949.0,72.13500213623047,Down,Up,0,0.0,0.43999481201171875
2023-05-22,71.69999694824219,72.36000061035156,70.55000305175781,71.98999786376953,263977.0,82.00794982910156,Up,Up,1,0.9200057983398438,0.0
2023-05-23,72.0999984741211,73.79000091552734,71.70999908447266,72.91000366210938,317586.0,86.88096618652344,Up,Up,1,1.42999267578125,0.0
2023-05-24,73.7699966430664,74.7300033569336,73.12999725341797,74.33999633789062,386611.0,88.24653625488281,Up,Down,0,0.0,2.5099945068359375
2023-05-25,74.20999908447266,74.37000274658203,70.9800033569336,71.83000183105469,422637.0,86.24869537353516,Down,Up,0,0.0,0.839996337890625
2023-05-26,71.88999938964844,73.05000305175781,71.48999786376953,72.66999816894531,261498.0,85.08649444580078,Down,Down,1,3.2099990844726562,0.0
2023-05-30,73.2300033569336,73.55000305175781,69.01999664306639,69.45999908447266,440862.0,85.87555694580078,Up,Down,0,0.0,1.3700027465820455
2023-05-31,69.62000274658203,69.69000244140625,67.02999877929689,68.08999633789061,444787.0,84.94393920898438,Down,Up,0,0.0,2.010002136230497
2023-06-01,67.59999847412111,71.06999969482422,67.51000213623047,70.09999847412111,395393.0,83.71990966796875,Down,Up,0,0.0,1.6399993896484233
2023-06-02,70.20999908447266,72.16999816894531,70.0,71.73999786376953,322596.0,81.39952087402344,Down,Up,0,0.0,0.410003662109375
2023-06-05,75.02999877929688,75.05999755859375,71.7300033569336,72.1500015258789,383943.0,83.99520874023438,Up,Down,0,0.0,0.410003662109375
2023-06-06,71.98999786376953,72.33000183105469,70.12999725341797,71.73999786376953,314962.0,79.97345733642578,Down,Up,0,0.0,0.7900009155273438
2023-06-07,71.55999755859375,73.19000244140625,71.01000213623047,72.52999877929688,299127.0,73.29291534423828,Down,Down,1,1.2399978637695312,0.0
2023-06-08,72.47000122070312,73.27999877929688,69.02999877929689,71.29000091552734,485396.0,71.28543090820312,Down,Down,1,1.1200027465820312,0.0
2023-06-09,70.94000244140625,71.7699966430664,70.09999847412111,70.16999816894531,300724.0,65.63475799560547,Down,Down,1,3.0499954223632812,0.0
2023-06-12,70.26999664306639,70.33000183105469,66.80000305175781,67.12000274658203,404769.0,74.14527130126953,Up,Up,1,2.2999954223632812,0.0
2023-06-13,67.30999755859375,69.83000183105469,67.15000152587889,69.41999816894531,366354.0,80.27273559570312,Up,Down,0,0.0,1.1500015258789205
2023-06-14,69.34999847412111,70.48999786376953,68.06999969482422,68.26999664306639,304449.0,79.99882507324219,Down,Up,0,0.0,2.350006103515639
2023-06-15,68.69999694824219,70.95999908447266,67.97000122070311,70.62000274658203,115613.0,77.6393051147461,Down,Up,0,0.0,1.1599960327148438
2023-06-16,70.55000305175781,71.88999938964844,69.94999694824219,71.77999877929688,99185.0,74.55585479736328,Down,Down,1,1.279998779296875,0.0
2023-06-20,71.44999694824219,72.08999633789062,69.65000152587889,70.5,430492.0,81.67436981201172,Up,Up,1,2.029998779296875,0.0
2023-06-21,70.9000015258789,72.72000122070312,70.80000305175781,72.52999877929688,264656.0,85.99906158447266,Up,Down,0,0.0,3.0199966430664062
2023-06-22,72.43000030517578,72.6500015258789,68.93000030517578,69.51000213623047,421348.0,86.45046997070312,Up,Down,0,0.0,0.34999847412107954
2023-06-23,69.52999877929689,69.65000152587889,67.34999847412111,69.16000366210939,322475.0,84.6844253540039,Down,Up,0,0.0,0.20999908447264204
2023-06-26,69.83999633789061,70.11000061035156,68.70999908447266,69.37000274658203,280116.0,85.92154693603516,Up,Down,0,0.0,1.6700057983398438
2023-06-27,69.48999786376953,70.15000152587889,67.5,67.69999694824219,384752.0,86.93726348876953,Up,Up,1,1.8600006103515625,0.0
2023-06-28,68.01000213623047,69.73000335693361,67.05000305175781,69.55999755859375,368295.0,87.62431335449219,Up,Up,1,0.3000030517578125,0.0
2023-06-29,69.25,70.5999984741211,68.93000030517578,69.86000061035156,292865.0,88.03483581542969,Up,Up,1,0.779998779296875,0.0
2023-06-30,69.81999969482422,71.04000091552734,69.52999877929689,70.63999938964844,299873.0,87.91014862060547,Down,Down,1,0.8499984741210938,0.0
2023-07-03,70.44999694824219,71.7699966430664,69.69000244140625,69.79000091552734,303479.0,87.99219512939453,Up,Up,1,2.0,0.0
2023-07-05,70.15000152587889,72.16999816894531,69.90000152587889,71.79000091552734,456809.0,85.22039031982422,Down,Up,0,0.0,0.01000213623046875
2023-07-06,71.80000305175781,72.33999633789062,70.22000122070311,71.80000305175781,395381.0,78.86761474609375,Down,Up,0,0.0,2.05999755859375
2023-07-07,71.88999938964844,73.91999816894531,71.19000244140625,73.86000061035156,362632.0,69.86920928955078,Down,Down,1,0.8700027465820312,0.0
2023-07-10,73.86000061035156,74.1500015258789,72.66999816894531,72.98999786376953,301014.0,55.37413787841797,Down,Up,0,0.0,1.8400039672851562
2023-07-11,73.19000244140625,74.95999908447266,72.9800033569336,74.83000183105469,326883.0,72.80860137939453,Up,Up,1,0.9199981689453125,0.0
2023-07-12,74.83000183105469,76.1500015258789,74.66999816894531,75.75,352887.0,75.45962524414062,Up,Up,1,1.1399993896484375,0.0
2023-07-13,75.8499984741211,77.33000183105469,75.31999969482422,76.88999938964844,379728.0,73.1407470703125,Down,Down,1,1.470001220703125,0.0
2023-07-14,77.16000366210938,77.30000305175781,75.11000061035156,75.41999816894531,299576.0,64.69407653808594,Down,Down,1,1.2699966430664062,0.0
2023-07-17,75.0199966430664,76.08999633789062,73.83999633789062,74.1500015258789,244785.0,75.97000885009766,Up,Up,1,1.5999984741210938,0.0
2023-07-18,74.18000030517578,75.95999908447266,73.87999725341797,75.75,125092.0,84.23092651367188,Up,Down,0,0.0,0.40000152587890625
2023-07-19,75.83999633789062,76.97000122070312,75.06999969482422,75.3499984741211,92920.0,85.67398071289062,Up,Up,1,0.279998779296875,0.0
2023-07-20,75.3499984741211,76.1500015258789,74.72000122070312,75.62999725341797,340962.0,81.88404083251953,Down,Up,0,0.0,1.44000244140625
2023-07-21,75.69999694824219,77.29000091552734,75.69000244140625,77.06999969482422,308106.0,76.01565551757812,Down,Up,0,0.0,1.6699981689453125
2023-07-24,77.01000213623047,79.27999877929688,76.44000244140625,78.73999786376953,368285.0,87.80582427978516,Up,Up,1,0.8899993896484375,0.0
2023-07-25,78.8499984741211,79.9000015258789,78.29000091552734,79.62999725341797,349600.0,93.10569763183594,Up,Down,0,0.0,0.8499984741210938
2023-07-26,79.33999633789062,79.7699966430664,78.55000305175781,78.77999877929688,322031.0,94.09066009521484,Up,Up,1,1.30999755859375,0.0
2023-07-27,78.9000015258789,80.5999984741211,78.87000274658203,80.08999633789062,374358.0,93.82855224609376,Down,Up,0,0.0,0.4900054931640625
2023-07-28,79.83999633789062,80.70999908447266,79.06999969482422,80.58000183105469,299547.0,93.3348159790039,Down,Up,0,0.0,1.220001220703125
2023-07-31,80.6500015258789,82.0,80.12999725341797,81.80000305175781,297270.0,96.79867553710938,Up,Down,0,0.0,0.43000030517578125
2023-08-01,81.7300033569336,82.22000122070312,80.58999633789062,81.37000274658203,307859.0,95.34378051757812,Down,Down,1,1.8800048828125,0.0
2023-08-02,82.05000305175781,82.43000030517578,79.05000305175781,79.48999786376953,414825.0,92.85760498046876,Down,Up,0,0.0,2.0600051879882812
2023-08-03,79.7699966430664,81.86000061035156,78.69000244140625,81.55000305175781,402641.0,87.98458099365234,Down,Up,0,0.0,1.2699966430664062
2023-08-04,81.7300033569336,83.23999786376953,81.51000213623047,82.81999969482422,320873.0,79.0191650390625,Down,Down,1,0.8799972534179688,0.0
2023-08-07,82.81999969482422,83.30000305175781,81.5199966430664,81.94000244140625,293036.0,66.17258453369139,Down,Up,0,0.0,0.9799957275390625
2023-08-08,82.52999877929688,83.08000183105469,79.9000015258789,82.91999816894531,424545.0,76.43924713134766,Up,Up,1,1.4800033569335938,0.0
2023-08-09,82.87999725341797,84.6500015258789,82.66999816894531,84.4000015258789,478140.0,80.87742614746094,Up,Down,0,0.0,1.5800018310546875
2023-08-10,84.25,84.88999938964844,82.58000183105469,82.81999969482422,362188.0,78.76641082763672,Down,Up,0,0.0,0.37000274658203125
2023-08-11,82.83000183105469,83.80999755859375,82.2300033569336,83.19000244140625,331254.0,72.56072998046875,Down,Down,1,0.6800003051757812,0.0
2023-08-14,83.08999633789062,83.19999694824219,81.76000213623047,82.51000213623047,277352.0,83.5953140258789,Up,Down,0,0.0,1.5200042724609375
2023-08-15,82.5199966430664,82.91000366210938,80.4000015258789,80.98999786376953,303207.0,89.49079132080078,Up,Down,0,0.0,1.6100006103515625
2023-08-16,81.2300033569336,81.43000030517578,79.05000305175781,79.37999725341797,325403.0,90.84906005859376,Up,Up,1,1.0100021362304688,0.0
2023-08-17,79.25,81.08000183105469,78.94999694824219,80.38999938964844,235581.0,89.21876525878906,Down,Up,0,0.0,0.8600006103515625
2023-08-18,80.04000091552734,81.61000061035156,79.58999633789062,81.25,128090.0,85.98625946044922,Down,Down,1,0.529998779296875,0.0
2023-08-21,81.43000030517578,82.47000122070312,80.61000061035156,80.72000122070312,115874.0,91.62738037109376,Up,Down,0,0.0,0.37000274658203125
2023-08-22,80.80000305175781,80.98999786376953,80.0999984741211,80.3499984741211,287489.0,93.02330780029295,Up,Down,0,0.0,1.4599990844726562
2023-08-23,79.63999938964844,79.91000366210938,77.62000274658203,78.88999938964844,378146.0,93.24087524414062,Up,Up,1,0.160003662109375,0.0
2023-08-24,78.56999969482422,79.27999877929688,77.58999633789062,79.05000305175781,349230.0,92.83846282958984,Down,Up,0,0.0,0.779998779296875
2023-08-25,78.87999725341797,80.44999694824219,78.13999938964844,79.83000183105469,411409.0,93.00176239013672,Up,Up,1,0.26999664306640625,0.0
2023-08-28,80.1500015258789,80.87000274658203,79.61000061035156,80.0999984741211,246584.0,94.14047241210938,Up,Up,1,1.0600051879882812,0.0
2023-08-29,79.9800033569336,81.41000366210938,79.33999633789062,81.16000366210938,284168.0,95.08078002929688,Up,Up,1,0.46999359130859375,0.0
2023-08-30,81.29000091552734,82.05000305175781,80.87999725341797,81.62999725341797,299418.0,96.26612091064452,Up,Up,1,2.0,0.0
2023-08-31,81.69999694824219,83.69000244140625,81.4800033569336,83.62999725341797,368848.0,97.3968505859375,Up,Up,1,1.9200057983398438,0.0
2023-09-01,83.62999725341797,86.05999755859375,83.45999908447266,85.55000305175781,420461.0,95.82307434082031,Down,Up,0,0.0,1.1399993896484375
2023-09-05,86.05999755859375,88.06999969482422,85.0199966430664,86.69000244140625,452908.0,95.3245620727539,Down,Up,0,0.0,0.8499984741210938
2023-09-06,86.72000122070312,88.08000183105469,85.93000030517578,87.54000091552734,307115.0,94.8445281982422,Down,Down,1,0.6699981689453125,0.0
2023-09-07,87.54000091552734,87.73999786376953,86.38999938964844,86.87000274658203,270736.0,92.45027923583984,Down,Up,0,0.0,0.6399993896484375
