,Open,High,Low,Close,Volume,Forcast
2024-02-23T00:00:00,78.165,78.302,76.279,76.534,39119,64.7946
2024-02-25T00:00:00,76.536,76.536,76.33,76.34,681,64.82924
2024-02-26T00:00:00,76.332,77.898,75.754,77.512,36111,64.87731
2024-02-27T00:00:00,77.502,78.762,77.031,78.226,35716,64.947205
2024-02-28T00:00:00,78.218,79.36,77.594,77.905,42270,65.03234
2024-02-29T00:00:00,77.895,78.95,77.677,77.975,44648,65.10705
2024-03-01T00:00:00,77.978,80.466,77.77,79.455,40040,65.140144
2024-03-03T00:00:00,79.737,79.758,79.458,79.541,834,65.19848
2024-03-04T00:00:00,79.539,79.982,78.254,78.4,44396,65.19527
2024-03-05T00:00:00,78.402,79.043,77.269,77.824,52141,65.097305
2024-03-06T00:00:00,77.82,80.12,77.587,78.655,40599,65.05825
2024-03-07T00:00:00,78.643,79.143,77.699,78.818,52860,65.04451
2024-03-08T00:00:00,78.822,79.556,77.235,77.496,49416,65.04897
2024-03-10T00:00:00,77.503,77.503,77.305,77.428,934,65.05911
2024-03-11T00:00:00,77.425,78.14,76.521,77.82,48297,64.99189
2024-03-12T00:00:00,77.817,78.398,77.081,77.747,47584,64.878685
2024-03-13T00:00:00,77.741,79.538,77.362,79.361,41319,64.86114
2024-03-14T00:00:00,79.365,81.116,79.293,80.586,41593,64.92707
2024-03-15T00:00:00,80.59,80.953,80.068,80.62,44835,65.011826
2024-03-17T00:00:00,80.763,80.767,80.593,80.615,628,65.11702
2024-03-18T00:00:00,80.615,82.504,80.576,82.195,35342,65.228584
2024-03-19T00:00:00,82.18,83.109,81.802,82.44,25530,65.33643
2024-03-20T00:00:00,82.44,82.625,80.81,81.605,30645,65.43626
2024-03-21T00:00:00,81.595,81.878,80.28,80.912,28800,65.517365
2024-03-22T00:00:00,80.903,81.403,80.372,80.737,28375,65.575035
2024-03-24T00:00:00,80.538,80.836,80.538,80.795,666,65.6557
2024-03-25T00:00:00,80.796,82.35,80.634,81.918,32724,65.7841
2024-03-26T00:00:00,81.919,82.212,81.04,81.13,33993,65.92357
2024-03-27T00:00:00,81.14,81.595,80.416,81.563,33984,66.04252
2024-03-28T00:00:00,81.571,82.99,81.346,82.894,33710,66.13836
