,Open,High,Low,Close,Volume,Forcast
2025-01-07,29.926,30.382,29.87,30.086,67417,25.35534
2025-01-08,30.085,30.339,29.799,30.122,66883,25.558441
2025-01-09,30.123,30.468,29.992,30.078,51101,25.778326
2025-01-10,30.084,30.65,29.949,30.398,79798,25.956707
2025-01-12,30.388,30.458,30.361,30.453,1693,26.139055
2025-01-13,30.451,30.505,29.499,29.67,80684,26.181524
2025-01-14,29.671,29.967,29.502,29.839,63204,25.985487
2025-01-15,29.838,30.761,29.727,30.668,68325,25.767828
2025-01-16,30.667,30.966,30.498,30.753,87685,25.591467
2025-01-17,30.752,30.832,30.113,30.323,74101,25.486853
2025-01-19,30.308,30.337,30.221,30.304,2177,25.490854
2025-01-20,30.303,30.654,29.983,30.567,57599,25.461327
2025-01-21,30.568,30.847,30.178,30.728,77577,25.347467
2025-01-22,30.726,30.947,30.551,30.762,65060,25.245314
2025-01-23,30.761,30.853,30.07,30.455,67878,25.181068
2025-01-24,30.456,31.012,30.428,30.573,70449,25.173666
2025-01-26,30.301,30.607,30.301,30.517,2756,25.260815
2025-01-27,30.519,30.607,29.693,30.169,82139,25.324764
2025-01-28,30.164,30.478,29.868,30.397,58625,25.30977
2025-01-29,30.395,30.977,30.269,30.859,76738,25.316898
2025-01-30,30.858,31.73,30.793,31.633,80630,25.397081
2025-01-31,31.632,31.705,31.135,31.276,87536,25.534231
2025-02-02,31.347,31.482,30.662,30.998,7668,25.68175
2025-02-03,31.001,31.666,30.659,31.491,110247,25.665527
2025-02-04,31.49,32.37,31.34,32.07,78004,25.645027
2025-02-05,32.072,32.54,31.915,32.298,79982,25.71598
2025-02-06,32.301,32.412,31.737,32.208,70153,25.86634
2025-02-07,32.209,32.645,31.758,31.784,76948,26.083803
2025-02-09,31.68,31.82,31.68,31.771,2257,26.411537
2025-02-10,31.772,32.331,31.772,32.056,63004,26.62489
2025-02-11,32.057,32.239,31.234,31.823,75696,26.679052
2025-02-12,31.822,32.358,31.506,32.262,74768,26.720924
2025-02-13,32.261,32.417,31.98,32.347,76469,26.741592
2025-02-14,32.344,33.382,32.059,32.118,96884,26.783438
2025-02-16,32.091,32.197,31.942,32.015,2909,26.882706
2025-02-17,32.016,32.475,31.896,32.365,52774,26.9257
2025-02-18,32.367,32.896,32.068,32.885,76948,26.827099
2025-02-19,32.888,33.065,32.439,32.691,85488,26.728554
2025-02-20,32.69,33.195,32.61,32.943,79159,26.673998
2025-02-21,32.942,33.069,32.423,32.423,93803,26.68037
2025-02-23,32.485,32.683,32.485,32.557,2006,26.777994
